Symbol,Company Name,Market Cap,Stock Price
EXPE,"Expedia Group, Inc.",27.98B,228.37
IQV,IQVIA Holdings Inc.,27.95B,164.72
VRSK,"Verisk Analytics, Inc.",27.76B,201.22
CHTR,"Charter Communications, Inc.",27.63B,218.19
EIX,Edison International,27.60B,71.73
DOV,Dover Corporation,27.50B,203.93
ES,Eversource Energy,27.41B,73.10
WTW,Willis Towers Watson Public Limited Company,27.37B,289.54
AWK,"American Water Works Company, Inc.",27.27B,139.69
FICO,Fair Isaac Corporation,26.88B,1131.22
KHC,The Kraft Heinz Company,26.73B,22.58
BIIB,Biogen Inc.,26.64B,181.55
ROL,"Rollins, Inc.",26.52B,55.13
JBL,Jabil Inc.,26.47B,250.65
DOW,Dow Inc.,26.28B,36.62
STZ,"Constellation Brands, Inc.",26.04B,150.14
WRB,W. R. Berkley Corporation,25.75B,68.76
EXE,Expand Energy Corporation,25.73B,107.02
FIS,"Fidelity National Information Services, Inc.",25.57B,49.70
CINF,Cincinnati Financial Corporation,25.49B,163.82
NTRS,Northern Trust Corporation,25.44B,136.92
TSCO,Tractor Supply Company,24.96B,47.24
HUBB,Hubbell Incorporated,24.85B,467.38
DXCM,"DexCom, Inc.",24.72B,64.24
STLD,"Steel Dynamics, Inc.",24.72B,170.60
FOXA,Fox Corporation,24.41B,57.39
CTRA,Coterra Energy Inc.,24.41B,32.15
OMC,Omnicom Group Inc.,24.14B,77.80
BG,Bunge Global SA,24.14B,124.73
MTD,Mettler-Toledo International Inc.,23.86B,1173.74
CMS,CMS Energy Corporation,23.85B,77.83
ULTA,"Ulta Beauty, Inc.",23.77B,535.72
AVB,"AvalonBay Communities, Inc.",23.67B,168.96
CFG,"Citizens Financial Group, Inc.",23.65B,55.64
LEN,Lennar Corporation,23.45B,94.96
DRI,"Darden Restaurants, Inc.",23.30B,202.37
LYB,LyondellBasell Industries N.V.,23.29B,72.30
BRO,"Brown & Brown, Inc.",23.24B,68.26
CHD,"Church & Dwight Co., Inc.",23.14B,97.75
ON,ON Semiconductor Corporation,23.07B,58.55
PHM,"PulteGroup, Inc.",22.92B,119.19
Q,"Qnity Electronics, Inc.",22.86B,109.05
ARES,Ares Management Corporation,22.83B,101.76
PPG,"PPG Industries, Inc.",22.77B,101.89
NI,NiSource Inc.,22.68B,47.39
EQR,Equity Residential,22.65B,59.99
VLTO,Veralto Corporation,22.36B,90.20
L,Loews Corporation,22.26B,108.02
SYF,Synchrony Financial,22.17B,63.78
EFX,Equifax Inc.,22.16B,184.28
FOX,Fox Corporation,22.13B,52.03
LDOS,"Leidos Holdings, Inc.",21.97B,173.86
DGX,Quest Diagnostics Incorporated,21.97B,199.70
VRSN,"VeriSign, Inc.",21.88B,238.60
LH,Labcorp Holdings Inc.,21.74B,263.80
CPAY,"Corpay, Inc.",21.61B,317.53
RF,Regions Financial Corporation,21.59B,25.00
WSM,"Williams-Sonoma, Inc.",21.49B,179.99
DLTR,"Dollar Tree, Inc.",21.37B,107.46
TSN,"Tyson Foods, Inc.",21.24B,60.32
STE,STERIS plc,21.04B,214.57
FSLR,"First Solar, Inc.",21.04B,196.07
GIS,"General Mills, Inc.",21.01B,39.38
SW,Smurfit Westrock Plc,20.84B,39.75
BR,"Broadridge Financial Solutions, Inc.",20.82B,178.32
MRNA,"Moderna, Inc.",20.76B,52.56
KEY,KeyCorp,20.59B,18.90
CHRW,"C.H. Robinson Worldwide, Inc.",20.09B,169.39
RL,Ralph Lauren Corporation,20.02B,330.73
HUM,Humana Inc.,19.95B,165.43
CF,"CF Industries Holdings, Inc.",19.91B,129.57
SBAC,SBA Communications Corporation,19.89B,188.04
IP,International Paper Company,19.72B,37.25
NTAP,"NetApp, Inc.",19.47B,98.66
TROW,"T. Rowe Price Group, Inc.",19.32B,88.59
GPN,Global Payments Inc.,19.22B,68.67
PKG,Packaging Corporation of America,19.14B,214.50
SNA,Snap-on Incorporated,19.08B,367.51
LUV,Southwest Airlines Co.,19.04B,38.75
EXPD,"Expeditors International of Washington, Inc.",19.03B,142.55
EVRG,"Evergy, Inc.",19.03B,82.63
JBHT,"J.B. Hunt Transport Services, Inc.",18.94B,200.25
AMCR,Amcor plc,18.75B,40.57
LNT,Alliant Energy Corporation,18.72B,72.79
ALB,Albemarle Corporation,18.65B,158.22
PFG,"Principal Financial Group, Inc.",18.61B,85.83
PTC,PTC Inc.,18.55B,155.89
ZBH,"Zimmer Biomet Holdings, Inc.",18.47B,93.20
SMCI,"Super Micro Computer, Inc.",18.42B,30.75
INCY,Incyte Corporation,18.42B,92.54
DD,"DuPont de Nemours, Inc.",18.36B,44.90
CSGP,"CoStar Group, Inc.",18.32B,43.63
NVR,"NVR, Inc.",18.07B,6466.56
IFF,International Flavors & Fragrances Inc.,17.78B,69.61
LULU,lululemon athletica inc.,17.70B,157.78
HPQ,HP Inc.,17.31B,18.93
WST,"West Pharmaceutical Services, Inc.",16.96B,235.46
CNC,Centene Corporation,16.94B,34.45
WY,Weyerhaeuser Company,16.91B,23.46
HOLX,"Hologic, Inc.",16.76B,75.12
LII,Lennox International Inc.,16.74B,480.96
FTV,Fortive Corporation,16.71B,54.27
BALL,Ball Corporation,16.55B,62.19
FFIV,"F5, Inc.",16.35B,289.31
HII,"Huntington Ingalls Industries, Inc.",16.31B,415.71
ESS,"Essex Property Trust, Inc.",16.12B,249.95
TXT,Textron Inc.,15.86B,91.05
MKC,"McCormick & Company, Incorporated",15.65B,58.29
AKAM,"Akamai Technologies, Inc.",15.60B,107.67
VTRS,Viatris Inc.,15.56B,13.51
TRMB,Trimble Inc.,15.55B,66.47
